PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2007-10-01,7,Chiapas,230593834
2007-10-01,8,Chihuahua,122783371
2007-10-01,9,Ciudad de México,277074335
2007-10-01,10,Durango,115758195
2007-10-01,11,Guanajuato,580290772
2007-10-01,12,Guerrero,381709988
2007-10-01,13,Hidalgo,267273478
2007-10-01,14,Jalisco,501989152
2007-10-01,15,Estado de México,553826971
2007-10-01,16,Michoacán,599493070
2007-10-01,17,Morelos,165665995
2007-10-01,18,Nayarit,98050551
2007-10-01,19,Nuevo León,84634972
2007-10-01,20,Oaxaca,384287933
2007-10-01,21,Puebla,420685349
2007-10-01,22,Querétaro,113816790
2007-10-01,23,Quintana Roo,25565132
2007-10-01,24,San Luis Potosí,198825943
2007-10-01,25,Sinaloa,132012863
2007-10-01,26,Sonora,79474665
2007-10-01,27,Tabasco,45028833
2007-10-01,28,Tamaulipas,128483349
2007-10-01,29,Tlaxcala,79386015
2007-10-01,30,Veracruz,446235660
2007-10-01,31,Yucatán,36350951
2007-10-01,32,Zacatecas,171056364
2008-01-01,1,Aguascalientes,74142733
2008-01-01,2,Baja California,80235326
2008-01-01,3,Baja California Sur,7966733
2008-01-01,4,Campeche,17098649
2008-01-01,5,Coahuila,67023360
2008-01-01,6,Colima,44022925
2008-01-01,7,Chiapas,189415959
2008-01-01,8,Chihuahua,116329630
2008-01-01,9,Ciudad de México,255684380
2008-01-01,10,Durango,105863087
2008-01-01,11,Guanajuato,537570951
2008-01-01,12,Guerrero,350231868
2008-01-01,13,Hidalgo,222518433
2008-01-01,14,Jalisco,466715627
2008-01-01,15,Estado de México,480360425
2008-01-01,16,Michoacán,584763237
2008-01-01,17,Morelos,148458023
2008-01-01,18,Nayarit,85885747
2008-01-01,19,Nuevo León,77259632
2008-01-01,20,Oaxaca,338366483
2008-01-01,21,Puebla,373853893
2008-01-01,22,Querétaro,100678086
2008-01-01,23,Quintana Roo,23132141
2008-01-01,24,San Luis Potosí,173062296
2008-01-01,25,Sinaloa,123054676
2008-01-01,26,Sonora,80302274
2008-01-01,27,Tabasco,38300518
2008-01-01,28,Tamaulipas,121348155
2008-01-01,29,Tlaxcala,66007782
2008-01-01,30,Veracruz,386466203
2008-01-01,31,Yucatán,34204361
2008-01-01,32,Zacatecas,159783385
2008-04-01,1,Aguascalientes,91311665
2008-04-01,2,Baja California,92035952
2008-04-01,3,Baja California Sur,9114590
2008-04-01,4,Campeche,21103261
2008-04-01,5,Coahuila,79925009
2008-04-01,6,Colima,49633794
2008-04-01,7,Chiapas,235043798
2008-04-01,8,Chihuahua,134616240
2008-04-01,9,Ciudad de México,301863390
2008-04-01,10,Durango,126299280
2008-04-01,11,Guanajuato,674970860
2008-04-01,12,Guerrero,405912183
2008-04-01,13,Hidalgo,280474091
2008-04-01,14,Jalisco,530316488
2008-04-01,15,Estado de México,578327707
2008-04-01,16,Michoacán,684981076
2008-04-01,17,Morelos,173384128
2008-04-01,18,Nayarit,102402401
2008-04-01,19,Nuevo León,92070878
2008-04-01,20,Oaxaca,419760819
2008-04-01,21,Puebla,454976741
2008-04-01,22,Querétaro,126142423
2008-04-01,23,Quintana Roo,27273136
2008-04-01,24,San Luis Potosí,220666364
2008-04-01,25,Sinaloa,138909075
2008-04-01,26,Sonora,93818556
2008-04-01,27,Tabasco,46319095
2008-04-01,28,Tamaulipas,143694182
2008-04-01,29,Tlaxcala,84095196
2008-04-01,30,Veracruz,463961189
2008-04-01,31,Yucatán,38645821
2008-04-01,32,Zacatecas,200007834
2008-07-01,1,Aguascalientes,95522568
2008-07-01,2,Baja California,93061612
2008-07-01,3,Baja California Sur,9470372
2008-07-01,4,Campeche,19704627
2008-07-01,5,Coahuila,73823734
2008-07-01,6,Colima,48245173
